source,target,PhyloDist,Family_source,Family_target,System_source,System_target
fr,ro,1104.02537841206,Romance,Romance,masc/fem,masc/fem/neu
pt,ro,1105.98488479966,Romance,Romance,masc/fem,masc/fem/neu
bg,ro,4407.02226644504,Slavic,Romance,masc/fem/neu,masc/fem/neu
lt,ro,4407.15040747806,Baltic,Romance,masc/fem,masc/fem/neu
nl,ro,3753.4139389872,Germanic,Romance,com/neu,masc/fem/neu
de,ro,3752.3550988404,Germanic,Romance,masc/fem/neu,masc/fem/neu
da,ro,3753.1636580383,Germanic,Romance,com/neu,masc/fem/neu
cs,ro,4406.51295157469,Slavic,Romance,masc/fem/neu,masc/fem/neu
ca,ro,1105.81563919002,Romance,Romance,masc/fem,masc/fem/neu
hr,ro,4406.67348211566,Slavic,Romance,masc/fem/neu,masc/fem/neu
nl,ru,4406.9001549305,Germanic,Slavic,com/neu,masc/fem/neu
pl,ru,727.9668413265,Slavic,Slavic,masc/fem/neu,masc/fem/neu
uk,ru,599.297606538595,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sl,ru,1227.58020643249,Slavic,Slavic,masc/fem/neu,masc/fem/neu
hi,ru,4792.58157859901,Indo-Iranian,Slavic,masc/fem,masc/fem/neu
lt,ru,2457.40078254651,Baltic,Slavic,masc/fem,masc/fem/neu
es,ru,4407.32375725714,Romance,Slavic,masc/fem,masc/fem/neu
ru,ru,0,Slavic,Slavic,masc/fem/neu,masc/fem/neu
sv,ru,4406.90750813486,Germanic,Slavic,com/neu,masc/fem/neu
da,ru,4406.64987398159,Germanic,Slavic,com/neu,masc/fem/neu
sk,ru,727.98666022427,Slavic,Slavic,masc/fem/neu,masc/fem/neu
fr,ru,4405.4654032761,Romance,Slavic,masc/fem,masc/fem/neu
el,ru,4536.53466587495,Greek,Slavic,masc/fem/neu,masc/fem/neu
cs,ru,727.470907004705,Slavic,Slavic,masc/fem/neu,masc/fem/neu
lv,ru,2457.50251290699,Baltic,Slavic,masc/fem,masc/fem/neu
ro,ru,4407.06588079716,Romance,Slavic,masc/fem/neu,masc/fem/neu
de,ru,4405.8413147837,Germanic,Slavic,masc/fem/neu,masc/fem/neu
